_id,translation,navnem,nutid,datid,førnutid,førdatid,bydem,bøj
1,accept,acceptere,accepterer,accepterede,har accepteret,havde accepteret,accepter,b1
2,separate,adskille,adskiller,adskilte,har adskilt,havde adskilt,adskil,b2
3,warn,advare,advarer,advarede,har advaret,havde advaret,advar,b1
4,interrupt,afbryde,afbryder,afbrød,har afbrudt,havde afbrudt,afbryd,uv
5,submit,afgive,afgiver,afgav,har afgivet,havde afgivet,afgiv,uv
6,determine,afgøre,afgør,afgjorde,har afgjort,havde afgjort,afgør,uv
7,deliver,aflevere,afleverer,afleverede,har afleveret,havde afleveret,aflever,b1
8,cancel,aflyse,aflyser,aflyste,har aflyst,havde aflyst,aflys,b2
9,replace,afløse,afløser,afløste,har afløst,havde afløst,afløs,b2
10,abolish,afskaffe,afskaffer,afskaffede,har afskaffet,havde afskaffet,afskaf,b1
11,exit,afslutte,afslutter,afsluttede,har afsluttet,havde afsluttet,afslut,b1
12,reject,afvise,afviser,afviste,har afvist,havde afvist,afvis,b2
13,recommend,anbefale,anbefaler,anbefalede,har anbefalet,havde anbefalet,anbefal,b1
14,place,anbringe,anbringer,anbragte,har anbragt,havde anbragt,anbring,uv
15,ane,ane,aner,anede,har anet,havde anet,,b1
16,recognize,anerkende,anerkender,anerkendte,har anerkendt,havde anerkendt,anerkend,b2
17,set,angive,angiver,angav,har angivet,havde angivet,angiv,uv
18,concern,angå,angår,angik,har angået,havde angået,,uv
19,arrest,anholde,anholder,anholdt,har anholdt,havde anholdt,anhold,uv
20,arrive,ankomme,ankommer,ankom,er ankommet,var ankommet,,uv
21,report,anmelde,anmelder,anmeldte,har anmeldt,havde anmeldt,anmeld,b2
22,consider,anse,anser,anså,har anset,havde anset,,uv
23,hire,ansætte,ansætter,ansatte,har ansat,havde ansat,ansæt,uv
24,use,anvende,anvender,anvendte,har anvendt,havde anvendt,anvend,b2
25,work,arbejde,arbejder,arbejdede,har arbejdet,havde arbejdet,arbejd,b1
26,arranging,arrangere,arrangerer,arrangerede,har arrangeret,havde arrangeret,arranger,b1
27,arrest,arrestere,arresterer,arresterede,har arresteret,havde arresteret,arrester,b1
28,bake,bage,bager,bagte,har bagt,havde bagt,bag,b2
29,knock,banke,banker,bankede,har banket,havde banket,bank,b1
30,ask,bede,beder,bad,har bedt,havde bedt,bed,uv
