translation,navnem.,nutid,datid,førnutid,førdatid,bydem.,bøj.,,,,
accept,acceptere,accepterer,accepterede,har accepteret,havde accepteret,accepter,b1,,,,
separate,adskille,adskiller,adskilte,har adskilt,havde adskilt,adskil,b2,,,,
warn,advare,advarer,advarede,har advaret,havde advaret,advar,b1,,,,
interrupt,afbryde,afbryder,afbrød,har afbrudt,havde afbrudt,afbryd,uv,,,,
submit,afgive,afgiver,afgav,har afgivet,havde afgivet,afgiv,uv,,,,
determine,afgøre,afgør,afgjorde,har afgjort,havde afgjort,afgør,uv,,,,
deliver,aflevere,afleverer,afleverede,har afleveret,havde afleveret,aflever,b1,,,,
cancel,aflyse,aflyser,aflyste,har aflyst,havde aflyst,aflys,b2,,,,
replace,afløse,afløser,afløste,har afløst,havde afløst,afløs,b2,,,,
abolish,afskaffe,afskaffer,afskaffede,har afskaffet,havde afskaffet,afskaf,b1,,,,
exit,afslutte,afslutter,afsluttede,har afsluttet,havde afsluttet,afslut,b1,,,,
reject,afvise,afviser,afviste,har afvist,havde afvist,afvis,b2,,,,
recommend,anbefale,anbefaler,anbefalede,har anbefalet,havde anbefalet,anbefal,b1,,,,
place,anbringe,anbringer,anbragte,har anbragt,havde anbragt,anbring,uv,,,,
ane,ane,aner,anede,har anet,havde anet,,b1,,,,
recognize,anerkende,anerkender,anerkendte,har anerkendt,havde anerkendt,anerkend,b2,,,,
set,angive,angiver,angav,har angivet,havde angivet,angiv,uv,,,,
concern,angå,angår,angik,har angået,havde angået,,uv,,,,
arrest,anholde,anholder,anholdt,har anholdt,havde anholdt,anhold,uv,,,,
arrive,ankomme,ankommer,ankom,er ankommet,var ankommet,,uv,,,,
report,anmelde,anmelder,anmeldte,har anmeldt,havde anmeldt,anmeld,b2,,,,
consider,anse,anser,anså,har anset,havde anset,,uv,,,,
hire,ansætte,ansætter,ansatte,har ansat,havde ansat,ansæt,uv,,,,
use,anvende,anvender,anvendte,har anvendt,havde anvendt,anvend,b2,,,,
work,arbejde,arbejder,arbejdede,har arbejdet,havde arbejdet,arbejd,b1,,,,
arranging,arrangere,arrangerer,arrangerede,har arrangeret,havde arrangeret,arranger,b1,,,,
arrest,arrestere,arresterer,arresterede,har arresteret,havde arresteret,arrester,b1,,,,
bake,bage,bager,bagte,har bagt,havde bagt,bag,b2,,,,
knock,banke,banker,bankede,har banket,havde banket,bank,b1,,,,
ask,bede,beder,bad,har bedt,havde bedt,bed,uv,,,,
located,befinde,befinder,befandt,har befundet,havde befundet,,uv,,,,
bury,begrave,begraver,begravede,har begravet,havde begravet,begrav,b1,,,,
limit,begrænse,begrænser,begrænsede,har begrænset,havde begrænset,begræns,b1,,,,
start,begynde,begynder,begyndte,er begyndt,var begyndt,begynd,b2,,,,
commit,begå,begår,begik,har begået,havde begået,begå,uv,,,,
treat,behandle,behandler,behandlede,har behandlet,havde behandlet,behandl,b1,,,,
keep,beholde,beholder,beholdt,har beholdt,havde beholdt,behold,uv,,,,
need,behøve,behøver,behøvede,har behøvet,havde behøvet,,b1,,,,
complain,beklage,beklager,beklagede,har beklaget,havde beklaget,beklag,b1,,,,
confirm,bekræfte,bekræfter,bekræftede,har bekræfted,havde bekræftet,bekræft,b1,,,,
note,bemærke,bemærker,bemærkede,har bemærket,havde bemærket,bemærk,b1,,,,
use,benytte,benytter,benyttede,har benyttet,havde benyttet,benyt,b1,,,,
describe,beskrive,beskriver,beskrev,har beskrevet,havde beskrevet,beskriv,uv,,,,
protect,beskytte,beskytter,beskyttede,har beskyttet,havde beskyttet, beskyt,b1,,,,
decide,beslutte,beslutter,besluttede,har besluttet,havde besluttet, beslut,b1,,,,
determine,bestemme,bestemmer,bestemte,har bestemt,havde bestemt, bestem,b2,,,,
book,bestille,bestiller,bestilte,har bestilt,havde bestilt, bestil,b2,,,,
consist,bestå,består,bestod,har bestået,havde bestået, bestå,uv,,,,
occupy,besætte,besætter,besatte,har besat,havde besat, besæt,uv,,,,
visit,besøge,besøger,besøgte,har besøgt,havde besøgt, besøg,b2,,,,
pay,betale,betaler,betalte,har betalt,havde betalt, betal,b2,,,,
mean,betyde,betyder,betød,har betydet,havde betydet, betyd,uv,,,,
preserve,bevare,bevarer,bevarede,har bevaret,havde bevaret, bevar,b1,,,,
prove,bevise,beviser,beviste,har bevist,havde bevist, bevis,b2,,,,
move,bevæge sig,bevæger sig,bevægede sig,har bevæget  sig,havde bevæget sig,bevæg dig ,b1,,,,
bite,bide,bider,bed,har bidt,havde bidt, bid,uv,,,,
contribute,bidrage,bidrager,bidrog,har bidraget,havde bidraget, bidrag,uv,,,,
tie,binde,binder,bandt,har bundet,havde bundet, bind,uv,,,,
mix,blande,blander,blandede,har blandet,havde blandet, bland,b1,,,,
be,blive,bliver,blev,er blevet,var blevet, bliv,uv,,,,
blow,blæse,blæser,blæste,har blæst,havde blæst, blæs,b2,,,,
stay,bo,bor,boede,har boet,havde boet, bo,b1,,,,
spread,brede sig,breder sig,bredte sig,har bredt sig,havde bredt sig,bred dig ,b2,,,,
bring,bringe,bringer,bragte,har bragt,havde bragt, bring,uv,,,,
use,bruge,bruger,brugte,har brugt,havde brugt, brug,b2,,,,
break,bryde,bryder,brød,har brudt,havde brudt, bryd,uv,,,,
building,bygge,bygger,byggede,har bygget,havde bygget, byg,b1,,,,
exchange,bytte,bytter,byttede,har byttet,havde byttet, byt,b1,,,,
wear,bære,bærer,bar,har båret,havde båret, bær,uv,,,,
quote,citere,citerer,citerede,har citeret,havde citeret, citer,b1,,,,
form,danne,danner,dannede,har dannet,havde dannet, dan,b1,,,,
dance,danse,danser,dansede,har danset,havde danset, dans,b1,,,,
parts,dele,deler,delte,har delt,havde delt, del,b2,,,,
participate,deltage,deltager,deltog,har deltaget,havde deltaget, deltag,uv,,,,
discuss,diskutere,diskuterer,diskuterede,har diskuteret,havde diskuteret,diskuter ,b1,,,,
dominate,dominere,dominerer,dominerede,har domineret,havde domineret,dominer ,b1,,,,
kite,drage,drager,drog,har draget,havde draget, drag,uv,,,,
turning,dreje,drejer,drejede,har drejet,havde drejet, dreje,b1,,,,
drink,drikke,drikker,drak,har drukket,havde drukket, drik,uv,,,,
drive,drive,driver,drev,har drevet,havde drevet, driv,uv,,,,
